,State/Territory,PositiveLSD,ptc_15d
0,Arizona,.03,-88.0
1,Arkansas,.02,39.6875
2,Colorado,.03,115.12041884816755
3,District of Columbia,.01,50.375
4,Florida,.01,1271.9318181818182
5,Georgia,.01,8404.5
6,Idaho,.02,448.35714285714283
7,Illinois,.03,87.57307692307693
8,Kansas,.02,1027.1
9,Kentucky,.07,7840444.625
10,Louisiana,.02,-69.875
11,Maine,.03,57392.21428571428
12,Maryland,.01,-49.166666666666664
13,Massachusetts,.02,-42.25
14,Michigan,.035,318.02272727272725
15,Minnesota,.035,-6.4375
16,Missouri,.01,1482.3684210526317
17,Montana,.035,-46.25
18,Nevada,.04,324.1041666666667
19,New Hampshire,.04,107.66666666666667
20,New Jersey,.02,1942.625
21,New Mexico,.04,32.0
22,New York,.01,13110.1
23,North Carolina,.02,161.81016949152541
24,Ohio,.02,363.8925925925926
25,Oklahoma,.02,2662.75
26,Oregon,.01,-93.08333333333333
27,Pennsylvania,.05,941.6666666666666
28,Rhode Island,.02,232.65277777777777
29,South Carolina, .02,592.9583333333334
30,South Dakota,.035,1840.4375
31,Texas,.02,395.3667711598746
32,Utah,.035,-52.403225806451616
33,Vermont,.035,-59.666666666666664
34,Virginia,.035,127.73056994818653
35,West Virginia,.04,-81.91666666666667
36,Wisconsin,.03,1497.3183279742766
